date, pm25, pm10, o3, no2, co
2019/9/28, 71, 37, 15, 8, 5
2019/9/29, 50, 56, 18, 8, 5
2019/9/30, 76, 64, 20, 8, 6
2019/6/15, 163, 120, 15, 18, 9
2019/6/16, 106, 106, 13, 18, 9
2019/6/17, 104, 74, 17, 18, 9
2019/6/18, 97, 150, 39, 18, 11
2019/6/19, 147, 88, 19, 18, 9
2019/6/20, 121, 117, 18, 18, 10
2019/6/21, 156, 125, 29, 18, 10
2019/6/22, 157, 107, 11, 18, 9
2019/6/23, 105, 65, 7, 18, 9
2019/6/24, 64, 83, 16, 18, 9
2019/6/25, 121, 109, 16, 18, 10
2019/6/26, 156, 178, 12, 18, 11
2019/6/27, 143, 146, 37, 18, 10
2019/6/28, 130, 190, 35, 18, 10
2019/6/29, 144, 205, 38, 18, 11
2019/6/30, 153, 138, 54, 18, 10
2020/8/23, , 37, 12, 3, 15
2020/4/2, , 42, 30, 4, 12
2020/4/5, , 80, 235, 4, 15
2020/5/19, , 66, 36, 5, 12
2019/12/31, , 313, 16, 7, 24
2019/6/14, , 191, 26, 18, 12
